Iteration: 0, Alpha: 1, Cost policy: 1744100.4569742621, Old cost: 56126.67602824922, Cost reduction: 1687973.7809460128, Expected cost reduction: 3.268070277587009
Iteration: 1, Alpha: 0.5, Cost policy: 1744100.729313452, Old cost: 56126.67602824922, Cost reduction: 1687974.0532852027, Expected cost reduction: 1.361695948994587
Iteration: 2, Alpha: 0.25, Cost policy: 1744101.069737439, Old cost: 56126.67602824922, Cost reduction: 1687974.3937091897, Expected cost reduction: 0.6127631770475642
Iteration: 3, Alpha: 0.125, Cost policy: 1744101.2910130308, Old cost: 56126.67602824922, Cost reduction: 1687974.6149847815, Expected cost reduction: 0.28936038916134976
Iteration: 4, Alpha: 0.0625, Cost policy: 1744101.4144167262, Old cost: 56126.67602824922, Cost reduction: 1687974.738388477, Expected cost reduction: 0.14042489474006678
Iteration: 5, Alpha: 0.03125, Cost policy: 1744101.479310049, Old cost: 56126.67602824922, Cost reduction: 1687974.8032817997, Expected cost reduction: 0.06914862240988137
Iteration: 6, Alpha: 0.015625, Cost policy: 1744101.512554579, Old cost: 56126.67602824922, Cost reduction: 1687974.8365263296, Expected cost reduction: 0.034308354964902685
Iteration: 7, Alpha: 0.0078125, Cost policy: 1744101.529376311, Old cost: 56126.67602824922, Cost reduction: 1687974.8533480617, Expected cost reduction: 0.01708768842244184
Iteration: 8, Alpha: 0.00390625, Cost policy: 1744101.5378370439, Old cost: 56126.67602824922, Cost reduction: 1687974.8618087946, Expected cost reduction: 0.008527221946218544
Iteration: 9, Alpha: 0.001953125, Cost policy: 1744101.542079877, Old cost: 56126.67602824922, Cost reduction: 1687974.8660516278, Expected cost reduction: 0.004259455406858678
Iteration: 10, Alpha: 0.0009765625, Cost policy: 1744101.5442044102, Old cost: 56126.67602824922, Cost reduction: 1687974.8681761608, Expected cost reduction: 0.0021286888118666907
Iteration: 11, Alpha: 0.00048828125, Cost policy: 1744101.545267456, Old cost: 56126.67602824922, Cost reduction: 1687974.8692392067, Expected cost reduction: 0.0010640846830426833
Iteration: 12, Alpha: 0.000244140625, Cost policy: 1744101.5457991739, Old cost: 56126.67602824922, Cost reduction: 1687974.8697709246, Expected cost reduction: 0.0005319774107986761
Iteration: 13, Alpha: 0.0001220703125, Cost policy: 1744101.5460650814, Old cost: 56126.67602824922, Cost reduction: 1687974.870036832, Expected cost reduction: 0.00026597247271867167
Iteration: 14, Alpha: 6.103515625e-05, Cost policy: 1744101.5461980472, Old cost: 56126.67602824922, Cost reduction: 1687974.870169798, Expected cost reduction: 0.00013298217818916925
Iteration: 15, Alpha: 3.0517578125e-05, Cost policy: 1744101.5462645332, Old cost: 56126.67602824922, Cost reduction: 1687974.8702362839, Expected cost reduction: 6.649007455204297e-05
Iteration: 16, Alpha: 1.52587890625e-05, Cost policy: 1744101.546297777, Old cost: 56126.67602824922, Cost reduction: 1687974.8702695277, Expected cost reduction: 3.324478364038607e-05
Iteration: 17, Alpha: 7.62939453125e-06, Cost policy: 1744101.546314399, Old cost: 56126.67602824922, Cost reduction: 1687974.8702861497, Expected cost reduction: 1.6622328411284185e-05
Iteration: 18, Alpha: 3.814697265625e-06, Cost policy: 1744101.5463227103, Old cost: 56126.67602824922, Cost reduction: 1687974.870294461, Expected cost reduction: 8.311148353414879e-06
Iteration: 19, Alpha: 1.9073486328125e-06, Cost policy: 1744101.546326866, Old cost: 56126.67602824922, Cost reduction: 1687974.8702986166, Expected cost reduction: 4.1555702136506356e-06
Iteration: 20, Alpha: 9.5367431640625e-07, Cost policy: 1744101.5463289437, Old cost: 56126.67602824922, Cost reduction: 1687974.8703006944, Expected cost reduction: 2.077784116061117e-06
Iteration: 21, Alpha: 4.76837158203125e-07, Cost policy: 1744101.5463299823, Old cost: 56126.67602824922, Cost reduction: 1687974.870301733, Expected cost reduction: 1.0388918103395084e-06
Iteration: 22, Alpha: 2.384185791015625e-07, Cost policy: 1744101.546330502, Old cost: 56126.67602824922, Cost reduction: 1687974.8703022527, Expected cost reduction: 5.194458432469916e-07
Iteration: 23, Alpha: 1.1920928955078125e-07, Cost policy: 1744101.5463307616, Old cost: 56126.67602824922, Cost reduction: 1687974.8703025123, Expected cost reduction: 2.5972290614280515e-07
Iteration: 24, Alpha: 5.960464477539063e-08, Cost policy: 1744101.5463308915, Old cost: 56126.67602824922, Cost reduction: 1687974.8703026422, Expected cost reduction: 1.2986144920122992e-07
Iteration: 25, Alpha: 2.9802322387695312e-08, Cost policy: 1744101.5463309565, Old cost: 56126.67602824922, Cost reduction: 1687974.8703027072, Expected cost reduction: 6.49307236330718e-08
Iteration: 26, Alpha: 1.4901161193847656e-08, Cost policy: 1744101.5463309889, Old cost: 56126.67602824922, Cost reduction: 1687974.8703027396, Expected cost reduction: 3.2465361574650106e-08
Iteration: 27, Alpha: 7.450580596923828e-09, Cost policy: 1744101.5463310052, Old cost: 56126.67602824922, Cost reduction: 1687974.8703027559, Expected cost reduction: 1.6232680726853608e-08
Iteration: 28, Alpha: 3.725290298461914e-09, Cost policy: 1744101.5463310133, Old cost: 56126.67602824922, Cost reduction: 1687974.870302764, Expected cost reduction: 8.116340348308942e-09
Iteration: 29, Alpha: 1.862645149230957e-09, Cost policy: 1744101.5463310173, Old cost: 56126.67602824922, Cost reduction: 1687974.870302768, Expected cost reduction: 4.058170170375005e-09
Iteration: 30, Alpha: 9.313225746154785e-10, Cost policy: 1744101.5463310194, Old cost: 56126.67602824922, Cost reduction: 1687974.87030277, Expected cost reduction: 2.0290850842426363e-09
Iteration: 31, Alpha: 4.656612873077393e-10, Cost policy: 1744101.5463310203, Old cost: 56126.67602824922, Cost reduction: 1687974.870302771, Expected cost reduction: 1.0145425418851014e-09
Iteration: 32, Alpha: 2.3283064365386963e-10, Cost policy: 1744101.5463310208, Old cost: 56126.67602824922, Cost reduction: 1687974.8703027715, Expected cost reduction: 5.072712708834966e-10
Iteration: 33, Alpha: 1.1641532182693481e-10, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 2.5363563542698475e-10
Iteration: 34, Alpha: 5.820766091346741e-11, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 1.268178177098015e-10
Iteration: 35, Alpha: 2.9103830456733704e-11, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 6.340890885397803e-11
Iteration: 36, Alpha: 1.4551915228366852e-11, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 3.1704454426758334e-11
Iteration: 37, Alpha: 7.275957614183426e-12, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 1.5852227213321497e-11
Iteration: 38, Alpha: 3.637978807091713e-12, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 7.926113606646331e-12
Iteration: 39, Alpha: 1.8189894035458565e-12, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 3.963056803319561e-12
Iteration: 40, Alpha: 9.094947017729282e-13, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 1.9815284016588794e-12
Iteration: 41, Alpha: 4.547473508864641e-13, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 9.907642008292145e-13
Iteration: 42, Alpha: 2.2737367544323206e-13, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 4.953821004145509e-13
Iteration: 43, Alpha: 1.1368683772161603e-13, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 2.476910502072614e-13
Iteration: 44, Alpha: 5.684341886080802e-14, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 1.2384552510362716e-13
Iteration: 45, Alpha: 2.842170943040401e-14, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 6.192276255181271e-14
Iteration: 46, Alpha: 1.4210854715202004e-14, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 3.096138127590613e-14
Iteration: 47, Alpha: 7.105427357601002e-15, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 1.548069063795301e-14
Iteration: 48, Alpha: 3.552713678800501e-15, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 7.740345318976492e-15
Iteration: 49, Alpha: 1.7763568394002505e-15, Cost policy: 1744101.5463310212, Old cost: 56126.67602824922, Cost reduction: 1687974.870302772, Expected cost reduction: 3.870172659488242e-15
